CREATE CONSTRAINT IF NOT EXISTS FOR (n:City) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:Country) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:DocumentCheck) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:DocumentInstance) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:Encounter) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:Questioning) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:Stamping) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:Traveller) REQUIRE n.key IS UNIQUE;

MERGE (t:Traveller {key:'traveller_11265638_author'}) SET t.entityName='author';
MERGE (e:Encounter {key:'encounter_11265638_author_1'}) SET e.sourcePostID=11265638, e.sourcePostURL='https://forum.awd.ru/viewtopic.php?p=11265638#p11265638', e.sourcePostAuthor='luggery', e.sourcePostDateTime=localdatetime('2022-11-24T17:05:00'), e.controlStage='on_train', e.transportMode='air';
MERGE (c_city_berlin:City {key:'city_berlin'}) SET c_city_berlin.entityName='Berlin';
MERGE (co_country_germany:Country {key:'country_germany'}) SET co_country_germany.entityName='Germany';
MERGE (dc_cash:DocumentCheck {key:'doccheck_encounter_11265638_author_1_cash'}) SET dc_cash.presented=true;
MERGE (di_cash:DocumentInstance {key:'documentinstance_encounter_11265638_author_1_cash'}) SET di_cash.documentType='cash';
MERGE (dc_foreign_passport:DocumentCheck {key:'doccheck_encounter_11265638_author_1_foreign_passport'}) SET dc_foreign_passport.presented=true;
MERGE (di_foreign_passport:DocumentInstance {key:'documentinstance_encounter_11265638_author_1_foreign_passport'}) SET di_foreign_passport.documentType='foreign_passport';
MERGE (dc_hotel_booking:DocumentCheck {key:'doccheck_encounter_11265638_author_1_hotel_booking'}) SET dc_hotel_booking.presented=true;
MERGE (di_hotel_booking:DocumentInstance {key:'documentinstance_encounter_11265638_author_1_hotel_booking'}) SET di_hotel_booking.documentType='hotel_booking';
MERGE (dc_payment_card:DocumentCheck {key:'doccheck_encounter_11265638_author_1_payment_card'}) SET dc_payment_card.presented=true;
MERGE (di_payment_card:DocumentInstance {key:'documentinstance_encounter_11265638_author_1_payment_card'}) SET di_payment_card.documentType='payment_card';
MERGE (dc_travel_insurance:DocumentCheck {key:'doccheck_encounter_11265638_author_1_travel_insurance'}) SET dc_travel_insurance.presented=true;
MERGE (di_travel_insurance:DocumentInstance {key:'documentinstance_encounter_11265638_author_1_travel_insurance'}) SET di_travel_insurance.documentType='travel_insurance';
MERGE (dc_travel_itinerary:DocumentCheck {key:'doccheck_encounter_11265638_author_1_travel_itinerary'}) SET dc_travel_itinerary.presented=true;
MERGE (di_travel_itinerary:DocumentInstance {key:'documentinstance_encounter_11265638_author_1_travel_itinerary'}) SET di_travel_itinerary.documentType='travel_itinerary';
MERGE (q_accommodation_details:Questioning {key:'questioning_encounter_11265638_author_1_accommodation_details'}) SET q_accommodation_details.wasAsked=true, q_accommodation_details.topicKey='accommodation_details';
MERGE (q_employment:Questioning {key:'questioning_encounter_11265638_author_1_employment'}) SET q_employment.wasAsked=true, q_employment.topicKey='employment';
MERGE (q_itinerary_transport:Questioning {key:'questioning_encounter_11265638_author_1_itinerary_transport'}) SET q_itinerary_transport.wasAsked=true, q_itinerary_transport.topicKey='itinerary_transport';
MERGE (q_visit_purpose:Questioning {key:'questioning_encounter_11265638_author_1_visit_purpose'}) SET q_visit_purpose.wasAsked=true, q_visit_purpose.topicKey='visit_purpose';
MERGE (st:Stamping {key:'stamping_encounter_11265638_author_1'});

MATCH (e:Encounter {key:'encounter_11265638_author_1'}), (t:Traveller {key:'traveller_11265638_author'}) MERGE (e)-[:hasTraveler]->(t);
MATCH (e:Encounter {key:'encounter_11265638_author_1'}), (c:City {key:'city_berlin'}) MERGE (e)-[:atCity]->(c);
MATCH (e:Encounter {key:'encounter_11265638_author_1'}), (co:Country {key:'country_germany'}) MERGE (e)-[:atCountry]->(co);
MATCH (c:City {key:'city_berlin'}), (co:Country {key:'country_germany'}) MERGE (c)-[:locatedInCountry]->(co);
MATCH (e:Encounter {key:'encounter_11265638_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11265638_author_1_cash'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11265638_author_1_cash'}), (di:DocumentInstance {key:'documentinstance_encounter_11265638_author_1_cash'}) MERGE (dc)-[:requestedDocument]->(di);
MATCH (e:Encounter {key:'encounter_11265638_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11265638_author_1_foreign_passport'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11265638_author_1_foreign_passport'}), (di:DocumentInstance {key:'documentinstance_encounter_11265638_author_1_foreign_passport'}) MERGE (dc)-[:requestedDocument]->(di);
MATCH (e:Encounter {key:'encounter_11265638_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11265638_author_1_hotel_booking'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11265638_author_1_hotel_booking'}), (di:DocumentInstance {key:'documentinstance_encounter_11265638_author_1_hotel_booking'}) MERGE (dc)-[:requestedDocument]->(di);
MATCH (e:Encounter {key:'encounter_11265638_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11265638_author_1_payment_card'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11265638_author_1_payment_card'}), (di:DocumentInstance {key:'documentinstance_encounter_11265638_author_1_payment_card'}) MERGE (dc)-[:requestedDocument]->(di);
MATCH (e:Encounter {key:'encounter_11265638_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11265638_author_1_travel_insurance'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11265638_author_1_travel_insurance'}), (di:DocumentInstance {key:'documentinstance_encounter_11265638_author_1_travel_insurance'}) MERGE (dc)-[:requestedDocument]->(di);
